1, Le Parrain, Un film de gangsters classique, lien_affiche1.jpg, 1972, 2h55
2, Titanic, Une histoire d'amour tragique à bord du Titanic, lien_affiche2.jpg, 1997, 3h14
3, Inception, Un thriller de science-fiction sur les rêves, lien_affiche3.jpg, 2010, 2h28
4, Le Seigneur des Anneaux : La Communauté de l'Anneau, Un voyage épique à travers la Terre du Milieu, lien_affiche4.jpg, 2001, 2h58
5, Pulp Fiction, Un film de crime et de dialogue mordant, lien_affiche5.jpg, 1994, 2h34
6, Gladiator, L'histoire d'un général romain, lien_affiche6.jpg, 2000, 2h35
7, Forrest Gump, L'histoire d'un homme simple, lien_affiche7.jpg, 1994, 2h22
8, Le Roi Lion, Un classique de l'animation Disney, lien_affiche8.jpg, 1994, 1h28
9, Fight Club, Une exploration du consumérisme moderne, lien_affiche9.jpg, 1999, 2h19
10, Matrix, Un film de science-fiction révolutionnaire, lien_affiche10.jpg, 1999, 2h30
11, La Liste de Schindler, L'histoire vraie d'un homme qui a sauvé des vies, lien_affiche11.jpg, 1993, 3h15
12, Le Retour du Roi, Le dernier volet de la trilogie du Seigneur des Anneaux, lien_affiche12.jpg, 2003, 3h20
13, Star Wars : Un Nouvel Espoir, Le début de la saga Star Wars, lien_affiche13.jpg, 1977, 2h01
14, Les Dents de la Mer, Un film de suspense sur un requin géant, lien_affiche14.jpg, 1975, 2h04
15, Les Affranchis, Un film de gangsters basé sur des événements réels, lien_affiche15.jpg, 1990, 2h26
16, Le Silence des Agneaux, Un thriller psychologique, lien_affiche16.jpg, 1991, 1h58
17, L'Empire contre-attaque, Le deuxième volet de la saga Star Wars, lien_affiche17.jpg, 1980, 2h04
18, Le Hobbit : Un Voyage Inattendu, Le début de la trilogie du Hobbit, lien_affiche18.jpg, 2012, 2h49
19, Le Cinquième Élément, Un film de science-fiction coloré, lien_affiche19.jpg, 1997, 1h53
20, Le Bon la Brute et le Truand, Un western classique, lien_affiche20.jpg, 1966, 2h41
